MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Specific,Common,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Pranab Mukherjee,Elected,18-May-09,25-07-2012,West Bengal,Jangipur,Indian National Congress,Male,Post Graduate,"M.A. (History), M.A. (Political Science), LL.B., D. Litt. (Honoris Causa); Educated at Vidyasagar College, Suri, Calcutta University, West Bengal",76,N/A,N/A,N/A,N/A,"This MP was a minister. He tendered his resignation on 26th June, 2012 to be the candidate for Presidential Election.  Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask q"," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prasanna Kumar Patasani,Elected,18-May-09,In office,Orissa,Bhubaneswar,Biju Janata Dal,Male,Doctorate,"M.A., LL.B., MSCI, Ph.D. (Honorary), D. Litt. (Utkal), D.Sc. (Swiss); Educated at Utkal University, Bhubaneswar (Orissa), Madhusudan Law College, Cuttack (Orissa), Maharshi Institute of Creative Intelligence, Rishikesh (Uttar Pradesh), Sheelsburg (Switzer",66,48,0,133,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.4,0.6,281,76%
Prasanta Kumar Majumdar,Elected,18-May-09,In office,West Bengal,Balurghat,Revolutionary Socialist Party,Male,Post Graduate,"M.A. (Economics); Educated at Guwahati University, Assam",71,120,2,468,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Pratik Prakashbapu Patil,Elected,18-May-09,In office,Maharashtra,Sangli,Indian National Congress,Male,Diploma Course,"Intermediate, Diploma in Automobile Engineering; Educated at Padmabhushan Vasant Dada Patil Institute of Technology, Budhgaon, District Sangli",39,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Praveen Singh Aron,Elected,18-May-09,In office,Uttar Pradesh,Bareilly,Indian National Congress,Male,Graduate,"B.A., LL.B.; Educated at Rohilkhand Vishwa Vidyalay and Rohilkhand University, Bareilly, Uttar Pradesh",53,6,0,8,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Prem Das Rai,Elected,18-May-09,In office,Sikkim,Sikkim,Sikkim Democratic Front,Male,Graduate,"B.Tech. (Chemical) and P.G.D.M.; Educated at IIT, Kanpur and IIM Ahmedabad, Gujarat",58,54,0,109,90%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,54,0,109,90%
Premchandra Guddu,Elected,18-May-09,In office,Madhya Pradesh,Ujjain,Indian National Congress,Male,Inter/ Higher Secondary,,52,16,0,188,78%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Premdas Katheria,Elected,18-May-09,In office,Uttar Pradesh,Etawah,Samajwadi Party,Male,Graduate,"B.Ed.; Educated at Kanpur University, Kanpur",47,50,0,112,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Preneet Kaur,Elected,18-May-09,In office,Punjab,Patiala,Indian National Congress,Female,Graduate,"B.A., T.T.C.; Educated at St. Bedes College and Convent of Jesus and Mary College, Shimla, Himachal Pradesh",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Priya Sunil Dutt,Elected,18-May-09,In office,Maharashtra,Mumbai-North-Central,Indian National Congress,Female,Post Graduate,"B.A.. (Sociology) Post-Grauduate (TV Production); Educated at Sophia College, Bombay University, Mumbai (Maharashtra) and Centre for Media Arts, New York City (U.S.A.) ",46,10,0,112,60%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Pulin Bihari Baske,Elected,18-May-09,In office,West Bengal,Jhargram,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at Kolkata Medical College, West Bengal",44,33,0,56,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Purnmasi Ram,Elected,18-May-09,In office,Bihar,Gopalganj,Janata Dal (United),Male,Matric,Educated at Hindi Vidyapeeth Deoghar,62,18,0,470,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Putul Kumari,Elected,26-Nov-10,In office,Bihar,Banka,Independent,Female,Information not available,,53,30,0,0,91%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",16.3,0.3,122,77%,19.9,0.2,135,87%
R. Thamaraiselvan,Elected,18-May-09,In office,Tamil Nadu,Dharmapuri,Dravida Munnetra Kazhagam,Male,Graduate,"B.Sc., B.L.; Educated at (i) Govt. Arts College, Dharmapuri and (ii) Govt. Law College, Trichy",49,82,0,487,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.2,0.2,262,73%
R.K. Singh Patel,Elected,18-May-09,In office,Uttar Pradesh,Banda,Samajwadi Party,Male,Graduate,"B.A.; Educated at University of Allahabad, Uttar Pradesh",53,36,0,191,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Radha Mohan Singh,Elected,18-May-09,In office,Bihar,Purvi Champaran,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at M.S. College, Bihar University, Motihari, Bihar",63,34,0,446,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Radhe Mohan Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghazipur,Samajwadi Party,Male,Graduate,"B.A. (Hons.), History; Educated at Lalit Narayan Mithila University, Darbhanga",45,12,0,153,74%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Raghavendra Yeddyurappa,Elected,18-May-09,In office,Karnataka,Shimoga,Bharatiya Janata Party,Male,Graduate,"B.B.M.; Educated at A.T.N.C.C., Shivamogga, Karnataka",39,1,0,64,58%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Raghuvansh Prasad Singh,Elected,18-May-09,In office,Bihar,Vaishali,Rashtriya Janata Dal,Male,Doctorate,"M.Sc., Ph.D. (Maths); Educated at Rajendra College, L.S. College and Bihar University, Muzaffarpur (Bihar) ",66,146,5,400,99%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Raghuvir Singh Meena,Elected,18-May-09,In office,Rajasthan,Udaipur,Indian National Congress,Male,Graduate,"B.A.; Educated at Vardhman Mahavir Vishvavidhalaya, Rajasthan",53,9,0,107,84%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Rahul Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Amethi,Indian National Congress,Male,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",42,1,0,0,42%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Raj Babbar,Elected,10-Nov-09,In office,Uttar Pradesh,Firozabad,Indian National Congress,Male,Graduate,"Graduate in Theatre; Educated at National School of Drama, New Delhi",60,2,0,0,69%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",24.8,0.5,199,77%,29.1,0.4,168,80%
Raj Kumari Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Aligarh,Bahujan Samaj Party,Female,Inter/ Higher Secondary,"Educated at Janta Inter College, Chlerat, Aligarh, U.P.",42,0,0,16,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Raja Ram Pal,Elected,18-May-09,In office,Uttar Pradesh,Akbarpur,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at D.A.V. College, Kanpur (Uttar Pradesh) ",51,42,0,0,91%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Rajagopal Lagadapati,Elected,18-May-09,In office,Andhra Pradesh,Vijayawada,Indian National Congress,Male,Graduate,"B. Tech. (Mechanical); Educated at Loyola Public School Guntur and Siddhartha Engineering College, Vijayawada",48,19,12,431,76%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Rajaiah Siricilla,Elected,18-May-09,In office,Andhra Pradesh,Warangal,Indian National Congress,Male,Graduate,"B.Sc. (Agriculture); Educated at Acharya N.G. Ranga Agricultural University, Hyderabad, Andhra Pradesh",59,27,0,571,79%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Rajan Sushant,Elected,18-May-09,In office,Himachal Pradesh,Kangra,Bharatiya Janata Party,Male,Doctorate,"GAMS, B.A., LL.B.; Dayanand Ayurvedic College Jalandhar (Punjab), H.P. University, Shimla and P.B. University, Chandigarh",57,70,1,54,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,70,0.3,275,88%
Rajen Gohain,Elected,18-May-09,In office,Assam,Nawgong,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Anandaram Dhekial Phukan College, Nagaon and Jalukbari, Gauhati University, Guwahati (Assam) ",61,8,0,74,58%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,16.3,0.5,59,81%
Rajendra Agrawal,Elected,18-May-09,In office,Uttar Pradesh,Meerut,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",62,109,2,213,98%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Rajendrasinh Ghanshyamsinh Rana (Raju Rana),Elected,18-May-09,In office,Gujarat,Bhavnagar,Bharatiya Janata Party,Male,Graduate,"B.Com., LL.B.; Educated at Saurashtra University, Bhavnagar (Gujarat) ",56,1,0,30,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Rajesh Nandini Singh,Elected,18-May-09,In office,Madhya Pradesh,Shahdol,Indian National Congress,Female,Graduate,"B.Sc.; Educated from Ravi Shankar Vishwa Vidhayalaya,; Raipur, Chhattisgarh",55,0,0,1,89%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Rajiv Ranjan (Lalan) Singh,Elected,18-May-09,In office,Bihar,Munger,Janata Dal (United),Male,Graduate,"B.A. (Hons.); Educated at T.N.B. College, Bhagalpur University, Bihar",57,10,0,442,93%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Rajnath Singh,Elected,18-May-09,In office,Uttar Pradesh,Ghaziabad,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Physics); Educated at Gorakhpur University, Uttar Pradesh",61,10,0,32,80%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Raju Shetti,Elected,18-May-09,In office,Maharashtra,Hatkanangle,Swabhimani Paksha,Male,Diploma Course,"D.M.E.; Educated at J. J. Magdum Polytechnic, Jaysingpur, Distt. Kolhapur, Maharashtra",45,26,1,218,74%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Rakesh Pandey,Elected,18-May-09,In office,Uttar Pradesh,Ambedkar Nagar,Bahujan Samaj Party,Male,Matric,,60,9,0,20,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Rakesh Sachan,Elected,18-May-09,In office,Uttar Pradesh,Fatehpur,Samajwadi Party,Male,Post Graduate,"M.A. (Economics), LL.B; Educated at Kanpur University",47,32,0,31,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Rakesh Singh,Elected,18-May-09,In office,Madhya Pradesh,Jabalpur,Bharatiya Janata Party,Male,Graduate,"B.Sc.; Educated at Government Science College, Jabalpur",50,43,0,334,80%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.5,0.1,174,83%
Ram Chandra Dome,Elected,18-May-09,In office,West Bengal,Bolpur,Communist Party of India (Marxist),Male,Graduate,"M.B.B.S.; Educated at N.R.S. Medical College and Hospital, Calcutta, West Bengal",53,45,0,45,82%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Ram Singh Kaswan,Elected,18-May-09,In office,Rajasthan,Churu,Bharatiya Janata Party,Male,Graduate,"B.A., LL.B.; Educated at Doonger College, Bikaner and Rajasthan University, Jaipur, Rajasthan",67,56,0,215,92%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Ram Sundar Das,Elected,18-May-09,In office,Bihar,Hajipur,Janata Dal (United),Male,Matric,"Educated at S.P.S., Sonpur, Distt. Saran, Bihar and Vidyasagar College, Calcutta (left College to join Freedoom Movement) ",91,0,0,278,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Rama Devi,Elected,18-May-09,In office,Bihar,Sheohar,Bharatiya Janata Party,Female,Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",63,52,0,417,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Ramachandran Mullappally,Elected,18-May-09,In office,Kerala,Vadakara,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Government College, Madappally, Kerala University and Law College, Calicut, Kerala",67,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ramakant Yadav,Elected,18-May-09,In office,Uttar Pradesh,Azamgarh,Bharatiya Janata Party,Male,Matric,"Educated at High School, Amvari, Distt. Azamgarh, Uttar Pradesh",55,0,0,0,47%,Complete attendance for this MP is not available," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Ramashankar Rajbhar,Elected,18-May-09,In office,Uttar Pradesh,Salempur,Bahujan Samaj Party,Male,Graduate,"Educated at Gorakhpur University, Gorakhpur (Uttar Pradesh) ",52,62,0,156,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Ramen Deka,Elected,18-May-09,In office,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,B.A.; Educated at Pragjyotish College under Guwahati University,58,44,1,115,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,16.3,0.5,59,81%
Ramesh Bais,Elected,18-May-09,In office,Chhattisgarh,Raipur,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at B.S.E., Bhopal, Madhya Pradesh",65,9,0,225,94%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,9.6,0.3,121,64%
Ramesh Chandappa Jigajinagi,Elected,18-May-09,In office,Karnataka,Bijapur,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at S.B.New Arts College, Bijapur , Karnataka",60,0,0,17,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,14.5,0.2,244,70%
Ramesh Kumar,Elected,18-May-09,In office,Delhi,South Delhi,Indian National Congress,Male,Matric,,57,0,0,0,100%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,27.5,4.3,227,96%
Ramesh Rathod,Elected,18-May-09,In office,Andhra Pradesh,Adilabad,Telugu Desam Party,Male,Graduate,"B.A.; Educated at Govt. Degree College, Adilabad",45,9,0,254,51%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,15.2,0.4,258,70%
Ramkishun,Elected,18-May-09,In office,Uttar Pradesh,Chandauli,Samajwadi Party,Male,Graduate,"B.A., B.Ed. and Post Graduate Diploma in Marketing and Finance",56,99,0,402,86%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Ramshankar,Elected,18-May-09,In office,Uttar Pradesh,Agra,Bharatiya Janata Party,Male,Doctorate,"M.A., Ph.D.; Educated at Kanpur University, Uttar Pradesh",47,44,1,171,73%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Ramsinhbhai Patalyabhai Rathwa,Elected,18-May-09,In office,Gujarat,Chhota Udaipur,Bharatiya Janata Party,Male,Post Diploma Course,"S.S.C., Diploma in Painting, Post-Diploma in Graphic, short-term training course in Museology; Educated at Kawant English School, Chhota Udaipur, Faculty of Fine Arts, M.S. University, Baroda (Gujarat) and National Museum, New Delhi",61,18,0,558,80%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,30.1,1,276,79%
Ranee Narah,Elected,18-May-09,In office,Assam,Lakhimpur,Indian National Congress,Female,Graduate,"B.A.; Educated at Gauhati University, Guwahati (Assam) ",46,3,0,7,83%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,16.3,0.5,59,81%
Ranjan Prasad Yadav,Elected,18-May-09,In office,Bihar,Pataliputra,Janata Dal (United),Male,Doctorate,"M.Sc. (Geology), Ph.D.; Educated at Science College, Patna University, Bihar",67,10,2,354,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.5,236,87%
Raosaheb Patil Danve,Elected,18-May-09,In office,Maharashtra,Jalna,Bharatiya Janata Party,Male,Under Graduate,"Educated at J.E.S., Jalna, Maharashtra",57,18,0,226,63%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,21.1,1.2,356,74%
Ratan Singh,Elected,18-May-09,In office,Rajasthan,Bharatpur,Indian National Congress,Male,Graduate,"B.E. (Mechanical); M.B.M. Engineering College, Jodhpur (University of Jodhpur) ",65,43,0,91,95%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,37.3,0.8,208,88%
Ratanjit Pratap Narayan Singh,Elected,18-May-09,In office,Uttar Pradesh,Khushi Nagar,Indian National Congress,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen College, University of Delhi.",48,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.ÿ They do not sign the attendance register, ask questions, or introduce private member bills."," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ratna De,Elected,18-May-09,In office,West Bengal,Hooghly,All India Trinamool Congress,Female,Post Graduate,"M.B.B.S., D.C.H.; Educated at R.G. Kar Medical College & Institute of Child Health, Calcutta University",64,74,0,114,81%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,34.8,0.8,136,72%
Ratna Singh,Elected,18-May-09,In office,Uttar Pradesh,Pratapgarh,Indian National Congress,Female,Graduate,"B. Com.; Educated at Jesus and Mary College, University of Delhi (Delhi) ",53,25,0,482,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,33.3,0.4,179,80%
Rattan Singh Ajnala,Elected,18-May-09,In office,Punjab,Khadoor Sahib,Shiromani Akali Dal,Male,Graduate,"M.B.B.S.; Educated at Medical College, Amritsar, Punjab",68,36,0,125,85%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,19,0.6,127,78%
Ravindra Kumar Pandey,Elected,18-May-09,In office,Jharkhand,Giridih,Bharatiya Janata Party,Male,Graduate,"B.A.; Educated at K.V. College (Ranchi University), Kathara (Bihar) ",53,108,0,477,87%,," (Data corresponds to the period 04 Jun 2009 to 7 Sep 2012,.)",28.4,0.6,215,77%,25.9,0.8,186,66%
